iter	Passed	Remaining
0	3	3219
1	6	3129
2	9	3184
3	12	3226
4	20	4007
5	32	5378
6	44	6346
7	60	7495
8	65	7204
9	71	7050
10	75	6804
11	78	6459
12	81	6171
13	84	5949
14	87	5771
15	90	5565
16	93	5392
17	96	5244
18	98	5100
19	102	5018
20	105	4900
21	107	4788
22	110	4687
23	113	4598
24	116	4548
25	119	4470
26	121	4391
27	124	4320
28	127	4255
29	129	4196
30	132	4148
31	135	4094
32	137	4043
33	140	3995
34	143	3950
35	145	3906
36	148	3868
37	151	3829
38	153	3791
39	156	3756
40	159	3723
41	161	3691
42	164	3662
43	167	3635
44	169	3607
45	172	3581
46	175	3554
47	177	3530
48	180	3505
49	183	3481
50	185	3458
51	188	3436
52	191	3414
53	194	3410
54	197	3401
55	201	3402
56	206	3421
57	210	3426
58	215	3432
59	218	3429
60	222	3420
61	225	3414
62	229	3406
63	231	3388
64	234	3371
65	237	3355
66	239	3335
67	243	3335
68	247	3333
69	249	3318
70	252	3302
71	254	3285
72	257	3273
73	260	3260
74	263	3246
75	265	3232
76	268	3216
77	271	3204
78	274	3196
79	276	3183
80	279	3171
81	282	3158
82	284	3147
83	287	3135
84	290	3128
85	293	3117
86	295	3105
87	298	3093
88	301	3081
89	303	3070
90	306	3062
91	308	3049
92	311	3039
93	314	3029
94	316	3018
95	319	3009
96	322	3000
97	324	2990
98	327	2984
99	330	2975
100	333	2964
101	335	2956
102	338	2945
103	340	2936
104	343	2926
105	345	2917
106	348	2908
107	351	2900
108	353	2892
109	356	2883
110	359	2875
111	361	2866
112	364	2858
113	366	2851
114	369	2844
115	372	2835
116	374	2828
117	377	2820
118	380	2813
119	382	2806
120	385	2799
121	387	2792
122	390	2784
123	393	2779
124	396	2778
125	399	2773
126	402	2769
127	406	2765
128	409	2762
129	412	2760
130	415	2757
131	418	2751
132	420	2744
133	423	2737
134	426	2731
135	429	2725
136	432	2722
137	434	2716
138	437	2709
139	440	2703
140	442	2697
141	445	2691
142	448	2686
143	450	2680
144	453	2674
145	456	2668
146	458	2662
147	461	2656
148	464	2650
149	466	2644
150	469	2638
151	471	2633
152	474	2627
153	477	2622
154	480	2617
155	482	2612
156	485	2606
157	488	2600
158	490	2595
159	493	2590
160	496	2585
161	498	2579
162	501	2573
163	503	2568
164	506	2563
165	509	2558
166	511	2552
167	514	2548
168	517	2543
169	519	2537
170	522	2533
171	525	2528
172	527	2523
173	530	2518
174	532	2512
175	535	2507
176	538	2502
177	540	2498
178	543	2494
179	546	2489
180	549	2484
181	551	2479
182	554	2474
183	556	2469
184	559	2464
185	562	2460
186	564	2455
187	567	2450
188	569	2445
189	572	2441
190	575	2437
191	578	2432
192	580	2428
193	583	2423
194	585	2419
195	588	2415
196	591	2410
197	593	2405
198	596	2401
199	600	2400
200	602	2396
201	605	2393
202	608	2389
203	611	2386
204	614	2383
205	617	2379
206	620	2375
207	623	2372
208	625	2368
209	628	2363
210	630	2359
211	633	2355
212	636	2351
213	639	2347
214	641	2342
215	644	2338
216	646	2334
217	649	2330
218	652	2326
219	654	2321
220	657	2317
221	660	2313
222	662	2308
223	665	2304
224	668	2300
225	670	2296
226	673	2292
227	675	2288
228	678	2284
229	681	2280
230	683	2276
231	686	2272
232	688	2267
