iter	Passed	Remaining
0	154	154721
1	157	78470
2	159	53034
3	161	40093
4	163	32481
5	165	27411
6	167	23791
7	170	21087
8	172	18973
9	173	17177
10	175	15800
11	177	14642
12	180	13671
13	182	12826
14	184	12088
15	186	11461
16	188	10911
17	190	10417
18	193	9968
19	195	9572
20	197	9210
21	199	8888
22	202	8582
23	204	8306
24	206	8055
25	208	7824
26	210	7603
27	213	7401
28	215	7217
29	217	7040
30	219	6874
31	222	6717
32	224	6576
33	226	6437
34	228	6309
35	231	6188
36	233	6072
37	235	5963
38	237	5855
39	239	5754
40	241	5657
41	244	5568
42	246	5482
43	248	5398
44	250	5321
45	253	5248
46	255	5173
47	257	5105
48	259	5037
49	261	4972
50	263	4911
51	266	4852
52	268	4795
53	271	4752
54	273	4707
55	276	4659
56	278	4611
57	281	4566
58	284	4532
59	286	4494
60	289	4459
61	292	4418
62	296	4402
63	298	4369
64	301	4333
65	303	4297
66	306	4262
67	313	4298
68	316	4267
69	318	4235
70	321	4203
71	323	4173
72	327	4155
73	330	4137
74	333	4113
75	336	4090
76	338	4060
77	340	4020
78	342	3995
79	346	3982
80	348	3957
81	351	3930
82	353	3905
83	355	3880
84	359	3866
85	361	3844
86	363	3819
87	366	3795
88	368	3769
89	370	3746
90	373	3726
91	375	3707
92	377	3684
93	380	3662
94	382	3646
95	385	3634
96	388	3612
97	390	3594
98	392	3574
99	395	3555
100	397	3535
101	399	3516
102	401	3499
103	404	3480
104	406	3464
105	408	3446
106	410	3428
107	412	3410
108	415	3393
109	417	3376
110	419	3359
111	421	3345
112	424	3329
113	426	3314
114	428	3298
115	430	3283
116	432	3267
117	435	3252
118	437	3238
119	439	3223
120	442	3211
121	444	3195
122	446	3181
123	448	3167
124	450	3154
125	452	3141
126	454	3127
127	457	3114
128	459	3101
129	461	3089
130	463	3076
131	466	3065
132	468	3053
133	470	3042
134	472	3030
135	475	3018
136	477	3006
137	479	2995
138	481	2983
139	484	2973
140	486	2962
141	488	2951
142	490	2940
143	492	2930
144	495	2919
145	497	2908
146	499	2899
147	501	2888
148	503	2877
149	506	2867
150	508	2857
151	510	2846
152	512	2838
153	515	2829
154	517	2821
155	519	2812
156	522	2803
157	524	2793
158	526	2784
159	528	2775
160	530	2766
161	532	2757
162	535	2747
163	537	2738
164	539	2730
165	542	2725
166	545	2719
167	547	2711
168	549	2704
169	552	2696
170	554	2688
171	557	2681
172	560	2679
173	562	2671
174	564	2663
175	567	2655
176	569	2647
177	571	2640
178	573	2632
179	576	2627
180	578	2619
181	581	2611
182	582	2602
183	585	2594
184	587	2586
185	589	2579
186	592	2573
187	594	2567
188	596	2560
189	598	2552
190	600	2545
191	603	2538
192	605	2532
193	608	2527
194	611	2522
195	613	2516
196	615	2508
197	617	2502
198	619	2494
199	622	2488
200	624	2481
201	626	2475
202	628	2468
203	630	2461
204	633	2455
205	635	2448
206	637	2441
207	639	2435
208	642	2429
209	644	2422
210	646	2416
211	648	2410
212	650	2404
213	653	2398
214	655	2392
215	657	2386
216	659	2380
217	662	2374
218	664	2368
219	666	2362
220	668	2355
221	674	2362
222	676	2356
223	679	2355
224	682	2349
225	684	2344
226	686	2338
227	689	2332
228	691	2327
229	693	2321
230	695	2315
231	697	2309
232	700	2304
233	702	2298
234	704	2293
235	706	2287
236	708	2279
237	709	2271
238	711	2266
239	713	2260
240	716	2255
241	718	2249
242	720	2244
243	722	2238
244	724	2233
245	727	2228
246	729	2223
247	731	2217
248	733	2211
249	735	2206
250	737	2201
251	739	2195
252	742	2193
253	745	2190
254	748	2186
255	750	2181
256	753	2177
257	755	2172
258	757	2168
259	760	2164
260	763	2161
261	766	2158
262	768	2153
263	770	2148
264	772	2143
265	775	2139
266	777	2134
267	780	2130
268	782	2125
269	784	2121
270	786	2116
271	788	2111
272	791	2106
273	793	2102
274	795	2097
275	797	2092
276	800	2088
277	802	2083
278	804	2078
279	806	2073
280	808	2069
281	810	2064
282	813	2060
283	815	2055
284	817	2050
285	819	2045
286	821	2041
287	824	2037
288	826	2032
289	828	2028
290	830	2024
291	832	2019
292	835	2015
293	837	2011
294	839	2007
295	842	2003
296	844	1999
297	846	1995
298	848	1989
299	850	1985
300	852	1980
301	855	1976
302	857	1972
303	859	1968
304	861	1964
305	864	1959
306	866	1955
307	868	1951
308	870	1947
309	873	1943
310	875	1939
311	877	1934
312	879	1930
313	881	1926
314	884	1922
315	886	1918
316	888	1914
317	890	1909
318	892	1905
319	894	1901
320	897	1897
321	899	1895
322	902	1891
323	904	1888
324	907	1884
325	909	1880
326	912	1877
327	914	1874
328	917	1870
329	919	1867
330	922	1863
331	924	1860
332	927	1856
333	929	1853
334	932	1850
335	934	1846
336	937	1843
337	939	1840
338	943	1840
339	946	1836
340	949	1834
341	951	1831
